i,mean,std,ci
0,0.02271480512137365,0.0034619262565254764,0.000681955893083586
1,0.025951700981217202,0.008041783172262836,0.00158413005328691
2,0.019732564386695323,0.002832775274028932,0.0005580210694159494
3,0.022337843673397795,0.0033704424308930426,0.0006639347310515315
4,0.020031254700940065,0.001960521713714535,0.00038619809814430093
5,0.024033967894737166,0.004653705816274027,0.0009167214639836386
6,0.022020048565334745,0.003364861121262035,0.0006628352833129163
7,0.023680585803407612,0.004850468471648123,0.000955481230202868
8,0.020578285660406554,0.00510413536365053,0.00100545041471544
9,0.019375769778935598,0.002197286949582484,0.0004328378691599678
10,0.022261523237132062,0.0023701069959199588,0.0004668812427935541
11,0.02096676585650203,0.001944606686539905,0.0003830630381325902
12,0.019967115286624794,0.0034169195581331933,0.0006730901400540407
13,0.019232790879528932,0.001361194300418979,0.00026813814218393093
14,0.020307439746278706,0.0014314317697473786,0.0002819740394776684
15,0.019411718002473464,0.0012621411595691659,0.00024862592033817615
16,0.019208920122397066,0.00308491894417464,0.0006076901983973869
17,0.021005943568065913,0.005017483678216977,0.0009883811234745734
18,0.02007592808116566,0.0027554534550001063,0.0005427896444105038
19,0.01955614427123407,0.0032040492530668,0.0006311573696118928
20,0.021570263486919983,0.004474641232869014,0.0008814479951552863
21,0.016925419219816575,0.0022594455740106347,0.00044508233570654597
22,0.021430841600052035,0.004579511124878952,0.0009021060437571053
23,0.01944816955412277,0.0036399665109888915,0.0007170275820049106
24,0.014514371602222173,0.001849409223612187,0.0003643103363014079
25,0.01621224181820648,0.003145145807139546,0.0006195541322531233
26,0.015743763759882762,0.0028608210299838296,0.0005635457302932211
27,0.01587773332692156,0.0020154234507595375,0.00039701304922761535
28,0.015444220918597597,0.0013449842006002465,0.00026494495657576817
29,0.014855606387359927,0.0016668946170088406,0.00032835725633259766
30,0.013372787321456756,0.0013398132173484522,0.0002639263379685836
31,0.014203538798322582,0.0013870988086723839,0.00027324100421848274
32,0.015161398685339725,0.004818181607476136,0.000949121124394787
33,0.017528972240409467,0.003030164060248165,0.0005969041755298047
34,0.016289951825382735,0.0011320327837093618,0.00022299620812524798
35,0.013885736465454102,0.0015955920104178997,0.0003143115404063101
36,0.01541416331975147,0.005007326149547843,0.00098638021819185
37,0.014744517779109454,0.003022098385879165,0.0005953153392115079
38,0.015237560175886058,0.0026437973633058904,0.0005207947998969834
39,0.013652343942661477,0.0013924283706040598,0.0002742908608293824
40,0.012706590421272047,0.001237764136966684,0.00024382395374854723
41,0.01331128736939093,0.002142661051906447,0.0004220772549600159
42,0.014965828018959123,0.001356486737120207,0.00026721081147386443
43,0.017781968068594885,0.0028284190591444437,0.0005571629499206493
44,0.017599498382722487,0.00514888498439105,0.0010142655266837353
45,0.01909839264070145,0.002177319583230001,0.0004289045493419133
46,0.018690094803318832,0.0021086167587016985,0.00041537095775536517
47,0.018519618294455788,0.005127115273814498,0.0010099771677418252
48,0.01956946681244205,0.006210774289795015,0.0012234443525635985
49,0.015983545418941612,0.0024966220589274397,0.0004918031176079484
50,0.015262678416088374,0.0012000018653050492,0.0002363852615905805
51,0.015612091680969855,0.0015982893619818036,0.0003148428847095734
52,0.014338004468667388,0.0010304928487829552,0.00020299411915068833
53,0.01883834781068744,0.006023502624170135,0.0011865541918504004
54,0.015296134081753817,0.0017517207537428414,0.00034506693746004144
55,0.015948777246956872,0.003054021960570683,0.0006016038815651006
56,0.01557002163896657,0.002357692711206297,0.0004644357849785757
57,0.015718833364621557,0.004096822926191612,0.0008070225447957202
58,0.014737492859965623,0.002408352899704421,0.0004744152043916554
59,0.016103089457810527,0.0021739616593469367,0.00042824308060719797
60,0.012970924377441406,0.0015192397083557475,0.00029927109803881696
61,0.013400788259024571,0.0011750429187607722,0.0002314686633097983
62,0.011710323468603269,0.0015543804577798498,0.0003061933833162601
63,0.01663527825866083,0.004677186597132763,0.0009213468822318283
64,0.019424924946794608,0.009296208478817214,0.0018312360477099447
65,0.016213354438242285,0.0074833707958728264,0.0014741298445498888
66,0.014890145773839469,0.0025837771813767498,0.0005089715796035487
67,0.01333137232847888,0.0018761138649098885,0.00036957081447344393
68,0.012838443120320639,0.0023410326888225652,0.00046115397028882743
69,0.013184797884237886,0.0012068961107671331,0.00023774334116040695
70,0.012824289726488518,0.0010512978380735891,0.00020709244014338574
71,0.012253096609404593,0.000898425324089042,0.00017697847927961607
