i,mean,std,ci
0,0.020342458378184925,0.0034901516742328696,0.0006875159450644798
1,0.01686350745384139,0.001782009108012225,0.0003510333619749703
2,0.016854914751919834,0.0018524528234311474,0.00036490988715227185
3,0.019586669074164495,0.003730995571657185,0.0007349591610637059
4,0.017149132911605063,0.0015330796480214355,0.0003019973919329018
5,0.02174050880200935,0.006377346686538531,0.0012562570178738948
6,0.022983088637843277,0.007665656266476189,0.0015100377876111142
7,0.020551202273128007,0.0035579708144170986,0.0007008754619592488
8,0.01831500698821713,0.0029889022799327973,0.0005887761242195995
9,0.01631186706851227,0.0029124322580149674,0.0005737124925224201
10,0.017779282849244397,0.002949736244280602,0.0005810609082263672
11,0.01949752942480222,0.003852982226488441,0.0007589889964719334
12,0.018066321960603347,0.002001591132237331,0.00039428825660285985
13,0.01882630887657705,0.004148182232796303,0.0008171396816751487
14,0.018251558746954406,0.0017236486997976406,0.00033953709620972443
15,0.020320338432234946,0.0034985716778766452,0.0006891745797895362
16,0.020685102000381008,0.0031833144766264697,0.0006270728796668511
17,0.0218254363898075,0.0035440035466160983,0.0006981240860253408
18,0.01935814366196141,0.002404647195044181,0.0004736852272217737
19,0.023034565376512932,0.011362501401913713,0.002238269742632382
20,0.032550253049291746,0.016368082140516715,0.0032243061368396964
21,0.022097874169397836,0.006468019218410942,0.0012741183652479606
22,0.023294720986876825,0.00712573854280315,0.0014036807926447788
23,0.020032056654342496,0.007019728639670253,0.0013827981762024354
24,0.01548983593179722,0.0015223993845205003,0.00029989351446860874
25,0.019293984981498334,0.006302149355907206,0.001241444090339253
26,0.017232834690749044,0.006266754570208585,0.0012344717631135912
27,0.013915651976460159,0.0019079639422919237,0.00037584487878226794
28,0.01616868105801669,0.002829626469695725,0.0005574007946001152
29,0.014458735783894857,0.0024774199979464362,0.0004880205533142514
30,0.018701883277507745,0.003786363916177181,0.0007458660279458416
31,0.01686458635811854,0.007070833849093893,0.0013928652591358255
32,0.013738008460613212,0.0012233345753982867,0.00024098151176191255
33,0.012991789615515507,0.0016142138064906316,0.0003179797998175738
34,0.015281751902416499,0.001640292504021845,0.0003231169749471228
35,0.013549441038960159,0.0014471945423372352,0.0002850791072527914
36,0.013039796039311572,0.0009505604935021697,0.00018724845136558328
37,0.013951920499705305,0.004057517025337152,0.0007992797771182939
38,0.01623061690667663,0.003483471741741281,0.0006862000824520245
39,0.012989106804433496,0.0010268039794626587,0.0002022674583308486
40,0.013696993240202316,0.004792259655626268,0.0009440148261913157
41,0.014150306431934087,0.0014021596418819415,0.0002762077987718465
42,0.014319684770372178,0.000998686984432411,0.00019672876425250516
43,0.015073015232278842,0.00629656608589124,0.0012403442564294786
44,0.012443600278912169,0.0007289193111182853,0.00014358792850152798
45,0.014113298570266877,0.0010741992451750427,0.00021160372905466865
46,0.017568361879599214,0.00584351923535649,0.001151099729922662
47,0.01400565378593676,0.0007129985014293723,0.00014045172940729502
48,0.015364810673877446,0.006046637874810167,0.0011911115449951117
49,0.01369027898769186,0.0018419435712747714,0.0003628396967701304
50,0.015952062125157828,0.007981614733030594,0.0015722776281710583
51,0.0132834766850327,0.0016441210370177883,0.00032387114775294935
52,0.014126346568868619,0.0015010739966942563,0.0002956926815152818
53,0.017550213168365785,0.00740586898921634,0.0014588629642475163
54,0.015223864353064335,0.0018855645659029904,0.0003714324836016839
55,0.014920699475991606,0.002402206994497094,0.00047320453843175244
56,0.015431736454819187,0.010731032861005785,0.0021138783891316132
57,0.013810579222862166,0.0009286285673771247,0.0001829281380026235
58,0.014780742953522037,0.002783989717095759,0.0005484109288229106
59,0.012445418521611377,0.0010051315565383322,0.0001979982638317498
60,0.012772702207468976,0.0015198190332904103,0.0002993852177582821
61,0.01609154421873767,0.0008547250234059567,0.0001683700701535751
62,0.01596301252191717,0.006282622438691599,0.0012375975334566972
63,0.01341596275869042,0.00509945438965406,0.0010045283217632152
64,0.014011941774927004,0.0023269207860804114,0.000458374103092207
65,0.014093509828201447,0.0013338114981489952,0.00026274407483718737
66,0.014462379494098702,0.00275942102560722,0.0005435712058754965
67,0.012624451608368845,0.005075319443467081,0.000999774041180132
68,0.012066137911093355,0.0008469234262616621,0.00016683325372428599
69,0.013501892186174489,0.001461473650136942,0.00028789191174093744
70,0.012407040355181453,0.0009946454285085454,0.00019593262861145508
71,0.012529483949295197,0.0008273623519725671,0.00016297996832822948
72,0.012538382501313181,0.0011118321298394533,0.00021901693360293277
73,0.01267767193341496,0.0010805427152511126,0.00021285331280672607
74,0.01319193599200008,0.0013119411043833577,0.0002584358825744487
75,0.012554554024127999,0.0007774056559964762,0.00015313912808627918
76,0.012343240506721266,0.0019773420644720314,0.00038951149550543366
77,0.014434838535809758,0.0048532444382110495,0.0009560280606713168
