msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
8,48,1663363563952,1663363563970,18,1663363564000,1663363564000,0
8,55,1663363564038,1663363564050,12,1663363564093,1663363564093,0
8,38,1663363564140,1663363564153,13,1663363564177,1663363564178,1
8,32,1663363564213,1663363564223,10,1663363564244,1663363564245,1
8,47,1663363564282,1663363564301,19,1663363564329,1663363564329,0
8,50,1663363564366,1663363564380,14,1663363564415,1663363564416,1
8,51,1663363564446,1663363564456,10,1663363564497,1663363564497,0
8,58,1663363564522,1663363564538,16,1663363564580,1663363564580,0
8,35,1663363564607,1663363564613,6,1663363564642,1663363564642,0
8,55,1663363564678,1663363564706,28,1663363564732,1663363564733,1
8,39,1663363564773,1663363564784,11,1663363564811,1663363564812,1
8,41,1663363564849,1663363564864,15,1663363564890,1663363564890,0
8,51,1663363564929,1663363564943,14,1663363564980,1663363564980,0
8,72,1663363565005,1663363565021,16,1663363565077,1663363565077,0
8,41,1663363565106,1663363565115,9,1663363565146,1663363565147,1
8,40,1663363565171,1663363565177,6,1663363565210,1663363565211,1
8,38,1663363565241,1663363565256,15,1663363565279,1663363565279,0
8,59,1663363565330,1663363565350,20,1663363565388,1663363565389,1
8,39,1663363565451,1663363565460,9,1663363565489,1663363565490,1
8,48,1663363565526,1663363565539,13,1663363565574,1663363565574,0
8,67,1663363565599,1663363565619,20,1663363565665,1663363565666,1
8,31,1663363565690,1663363565697,7,1663363565720,1663363565721,1
16,56,1663363565959,1663363565965,6,1663363566014,1663363566015,1
16,93,1663363566061,1663363566107,46,1663363566153,1663363566154,1
16,97,1663363566201,1663363566219,18,1663363566298,1663363566298,0
16,88,1663363566354,1663363566376,22,1663363566442,1663363566442,0
16,54,1663363566489,1663363566503,14,1663363566543,1663363566543,0
16,71,1663363566602,1663363566614,12,1663363566673,1663363566673,0
16,95,1663363566834,1663363566867,33,1663363566928,1663363566929,1
16,92,1663363567003,1663363567024,21,1663363567094,1663363567095,1
16,87,1663363567157,1663363567179,22,1663363567244,1663363567244,0
16,62,1663363567290,1663363567303,13,1663363567351,1663363567352,1
16,86,1663363567409,1663363567429,20,1663363567494,1663363567495,1
16,107,1663363567555,1663363567572,17,1663363567662,1663363567662,0
