msgSize,totalTime,reqSendTime,reqReceiveTime,reqTotalTime,resSendTime,resReceiveTime,resTotalTime
4,13,1663364582020,1663364582025,5,1663364582032,1663364582033,1
4,12,1663364582042,1663364582046,4,1663364582054,1663364582054,0
4,14,1663364582061,1663364582065,4,1663364582075,1663364582075,0
4,12,1663364582083,1663364582088,5,1663364582095,1663364582095,0
4,12,1663364582103,1663364582107,4,1663364582114,1663364582115,1
8,22,1663364582494,1663364582499,5,1663364582516,1663364582516,0
8,36,1663364582529,1663364582537,8,1663364582564,1663364582565,1
8,28,1663364582592,1663364582608,16,1663364582619,1663364582620,1
8,18,1663364582632,1663364582637,5,1663364582649,1663364582650,1
8,17,1663364582662,1663364582667,5,1663364582679,1663364582679,0
8,18,1663364582692,1663364582697,5,1663364582709,1663364582710,1
8,19,1663364582722,1663364582727,5,1663364582740,1663364582741,1
8,18,1663364582754,1663364582759,5,1663364582772,1663364582772,0
8,35,1663364582785,1663364582790,5,1663364582819,1663364582820,1
8,23,1663364582847,1663364582855,8,1663364582870,1663364582870,0
8,22,1663364582884,1663364582890,6,1663364582905,1663364582906,1
8,19,1663364582920,1663364582925,5,1663364582938,1663364582939,1
8,18,1663364582951,1663364582956,5,1663364582968,1663364582969,1
8,18,1663364582982,1663364582987,5,1663364582999,1663364583000,1
8,18,1663364583014,1663364583019,5,1663364583032,1663364583032,0
8,24,1663364583045,1663364583053,8,1663364583068,1663364583069,1
8,37,1663364583090,1663364583097,7,1663364583127,1663364583127,0
8,21,1663364583147,1663364583154,7,1663364583168,1663364583168,0
8,19,1663364583180,1663364583186,6,1663364583198,1663364583199,1
8,20,1663364583211,1663364583217,6,1663364583230,1663364583231,1
8,19,1663364583244,1663364583249,5,1663364583262,1663364583263,1
8,19,1663364583276,1663364583281,5,1663364583294,1663364583295,1
8,18,1663364583307,1663364583312,5,1663364583325,1663364583325,0
8,19,1663364583338,1663364583344,6,1663364583356,1663364583357,1
8,17,1663364583369,1663364583374,5,1663364583386,1663364583386,0
8,34,1663364583404,1663364583410,6,1663364583437,1663364583438,1
8,19,1663364583449,1663364583454,5,1663364583467,1663364583468,1
8,19,1663364583482,1663364583487,5,1663364583501,1663364583501,0
8,20,1663364583514,1663364583520,6,1663364583533,1663364583534,1
8,19,1663364583547,1663364583552,5,1663364583565,1663364583566,1
16,32,1663364584203,1663364584212,9,1663364584234,1663364584235,1
16,49,1663364584273,1663364584297,24,1663364584321,1663364584322,1
16,57,1663364584342,1663364584350,8,1663364584399,1663364584399,0
16,29,1663364584421,1663364584428,7,1663364584450,1663364584450,0
16,34,1663364584472,1663364584479,7,1663364584505,1663364584506,1
16,31,1663364584529,1663364584537,8,1663364584559,1663364584560,1
16,124,1663364584584,1663364584677,93,1663364584708,1663364584708,0
16,47,1663364584730,1663364584738,8,1663364584777,1663364584777,0
16,33,1663364584803,1663364584812,9,1663364584835,1663364584836,1
16,33,1663364584858,1663364584865,7,1663364584890,1663364584891,1
16,32,1663364584914,1663364584921,7,1663364584945,1663364584946,1
16,39,1663364584971,1663364584982,11,1663364585009,1663364585010,1
16,37,1663364585054,1663364585063,9,1663364585090,1663364585091,1
16,57,1663364585120,1663364585127,7,1663364585177,1663364585177,0
16,32,1663364585198,1663364585206,8,1663364585230,1663364585230,0
16,30,1663364585252,1663364585259,7,1663364585282,1663364585282,0
16,29,1663364585304,1663364585311,7,1663364585333,1663364585333,0
16,31,1663364585354,1663364585362,8,1663364585385,1663364585385,0
16,31,1663364585413,1663364585421,8,1663364585443,1663364585444,1
16,35,1663364585464,1663364585472,8,1663364585499,1663364585499,0
16,42,1663364585521,1663364585529,8,1663364585562,1663364585563,1
16,31,1663364585584,1663364585592,8,1663364585615,1663364585615,0
16,31,1663364585639,1663364585646,7,1663364585670,1663364585670,0
16,35,1663364585692,1663364585703,11,1663364585726,1663364585727,1
16,46,1663364585766,1663364585786,20,1663364585811,1663364585812,1
16,34,1663364585836,1663364585844,8,1663364585869,1663364585870,1
16,40,1663364585899,1663364585907,8,1663364585939,1663364585939,0
16,45,1663364585962,1663364585970,8,1663364586007,1663364586007,0
16,30,1663364586030,1663364586037,7,1663364586060,1663364586060,0
16,31,1663364586082,1663364586089,7,1663364586112,1663364586113,1
32,56,1663364587201,1663364587213,12,1663364587256,1663364587257,1
32,56,1663364587298,1663364587309,11,1663364587353,1663364587354,1
32,144,1663364587395,1663364587406,11,1663364587538,1663364587539,1
32,64,1663364587593,1663364587613,20,1663364587656,1663364587657,1
32,54,1663364587709,1663364587720,11,1663364587762,1663364587763,1
32,58,1663364587803,1663364587814,11,1663364587860,1663364587861,1
32,76,1663364587904,1663364587915,11,1663364587979,1663364587980,1
32,56,1663364588021,1663364588033,12,1663364588076,1663364588077,1
32,55,1663364588122,1663364588133,11,1663364588176,1663364588177,1
32,57,1663364588218,1663364588230,12,1663364588275,1663364588275,0
32,64,1663364588316,1663364588327,11,1663364588380,1663364588380,0
32,62,1663364588424,1663364588437,13,1663364588485,1663364588486,1
32,61,1663364588613,1663364588626,13,1663364588673,1663364588674,1
32,61,1663364588720,1663364588732,12,1663364588780,1663364588781,1
32,93,1663364588828,1663364588840,12,1663364588921,1663364588921,0
32,58,1663364588964,1663364588977,13,1663364589022,1663364589022,0
32,56,1663364589065,1663364589077,12,1663364589121,1663364589121,0
32,57,1663364589179,1663364589191,12,1663364589235,1663364589236,1
32,55,1663364589278,1663364589289,11,1663364589333,1663364589333,0
32,64,1663364589375,1663364589386,11,1663364589439,1663364589439,0
32,62,1663364589480,1663364589494,14,1663364589541,1663364589542,1
32,55,1663364589583,1663364589595,12,1663364589637,1663364589638,1
32,54,1663364589707,1663364589718,11,1663364589761,1663364589761,0
32,62,1663364589802,1663364589813,11,1663364589864,1663364589864,0
32,133,1663364589910,1663364589925,15,1663364590042,1663364590043,1
32,75,1663364590107,1663364590121,14,1663364590181,1663364590182,1
32,62,1663364590231,1663364590244,13,1663364590292,1663364590293,1
32,59,1663364590355,1663364590367,12,1663364590413,1663364590414,1
32,60,1663364590457,1663364590469,12,1663364590516,1663364590517,1
32,85,1663364590560,1663364590572,12,1663364590644,1663364590645,1
64,126,1663364592808,1663364592849,41,1663364592934,1663364592934,0
64,110,1663364593099,1663364593120,21,1663364593209,1663364593209,0
64,151,1663364593293,1663364593314,21,1663364593443,1663364593444,1
64,129,1663364593547,1663364593572,25,1663364593676,1663364593676,0
64,119,1663364593786,1663364593808,22,1663364593904,1663364593905,1
64,165,1663364593988,1663364594008,20,1663364594152,1663364594153,1
64,113,1663364594238,1663364594260,22,1663364594351,1663364594351,0
64,105,1663364594519,1663364594540,21,1663364594624,1663364594624,0
64,210,1663364594705,1663364594725,20,1663364594914,1663364594915,1
64,131,1663364595019,1663364595043,24,1663364595149,1663364595150,1
64,107,1663364595249,1663364595268,19,1663364595355,1663364595356,1
64,110,1663364595436,1663364595458,22,1663364595545,1663364595546,1
64,123,1663364595626,1663364595646,20,1663364595748,1663364595749,1
64,112,1663364595866,1663364595887,21,1663364595978,1663364595978,0
64,109,1663364596058,1663364596079,21,1663364596167,1663364596167,0
64,147,1663364596254,1663364596275,21,1663364596400,1663364596401,1
64,226,1663364596483,1663364596618,135,1663364596708,1663364596709,1
64,110,1663364596792,1663364596812,20,1663364596901,1663364596902,1
64,111,1663364596986,1663364597008,22,1663364597096,1663364597097,1
64,125,1663364597176,1663364597197,21,1663364597301,1663364597301,0
64,104,1663364597386,1663364597405,19,1663364597489,1663364597490,1
64,107,1663364597572,1663364597592,20,1663364597678,1663364597679,1
64,105,1663364597758,1663364597778,20,1663364597862,1663364597863,1
64,205,1663364597960,1663364597980,20,1663364598164,1663364598165,1
64,112,1663364598251,1663364598271,20,1663364598362,1663364598363,1
64,124,1663364598442,1663364598465,23,1663364598565,1663364598566,1
64,130,1663364598668,1663364598693,25,1663364598797,1663364598798,1
64,118,1663364598888,1663364598913,25,1663364599005,1663364599006,1
64,122,1663364599087,1663364599109,22,1663364599208,1663364599209,1
64,128,1663364599307,1663364599329,22,1663364599434,1663364599435,1
128,481,1663364604522,1663364604804,282,1663364605002,1663364605003,1
128,299,1663364605188,1663364605228,40,1663364605487,1663364605487,0
128,246,1663364605775,1663364605816,41,1663364606020,1663364606021,1
128,375,1663364606199,1663364606239,40,1663364606574,1663364606574,0
128,217,1663364606790,1663364606829,39,1663364607006,1663364607007,1
128,223,1663364607196,1663364607234,38,1663364607418,1663364607419,1
128,310,1663364607583,1663364607621,38,1663364607892,1663364607893,1
128,227,1663364608067,1663364608109,42,1663364608294,1663364608294,0
128,240,1663364608480,1663364608521,41,1663364608720,1663364608720,0
128,249,1663364608903,1663364608944,41,1663364609151,1663364609152,1
128,236,1663364609495,1663364609536,41,1663364609730,1663364609731,1
128,437,1663364609888,1663364610055,167,1663364610324,1663364610325,1
128,223,1663364610492,1663364610533,41,1663364610714,1663364610715,1
128,228,1663364610896,1663364610938,42,1663364611123,1663364611124,1
128,263,1663364611287,1663364611324,37,1663364611550,1663364611550,0
128,206,1663364611718,1663364611756,38,1663364611924,1663364611924,0
128,210,1663364612104,1663364612143,39,1663364612314,1663364612314,0
128,218,1663364612472,1663364612510,38,1663364612689,1663364612690,1
128,230,1663364612926,1663364612965,39,1663364613156,1663364613156,0
128,355,1663364613323,1663364613420,97,1663364613677,1663364613678,1
128,279,1663364613891,1663364613937,46,1663364614170,1663364614170,0
128,235,1663364614410,1663364614451,41,1663364614645,1663364614645,0
128,288,1663364614810,1663364614848,38,1663364615097,1663364615098,1
128,240,1663364615332,1663364615373,41,1663364615572,1663364615572,0
128,216,1663364615764,1663364615804,40,1663364615980,1663364615980,0
128,256,1663364616142,1663364616180,38,1663364616397,1663364616398,1
128,218,1663364616650,1663364616688,38,1663364616868,1663364616868,0
128,339,1663364617026,1663364617122,96,1663364617364,1663364617365,1
128,213,1663364617525,1663364617564,39,1663364617737,1663364617738,1
128,213,1663364617957,1663364617996,39,1663364618169,1663364618170,1
256,582,1663364629816,1663364629895,79,1663364630397,1663364630398,1
256,462,1663364630996,1663364631072,76,1663364631457,1663364631458,1
256,900,1663364631817,1663364632139,322,1663364632716,1663364632717,1
256,430,1663364633090,1663364633167,77,1663364633520,1663364633520,0
256,504,1663364633921,1663364634003,82,1663364634424,1663364634425,1
256,505,1663364635103,1663364635193,90,1663364635608,1663364635608,0
256,886,1663364635988,1663364636269,281,1663364636873,1663364636874,1
256,424,1663364637268,1663364637345,77,1663364637692,1663364637692,0
256,516,1663364638044,1663364638118,74,1663364638559,1663364638560,1
256,460,1663364639084,1663364639159,75,1663364639544,1663364639544,0
256,803,1663364639912,1663364640195,283,1663364640714,1663364640715,1
256,428,1663364641100,1663364641174,74,1663364641527,1663364641528,1
256,511,1663364641890,1663364641967,77,1663364642400,1663364642401,1
256,518,1663364642862,1663364642942,80,1663364643379,1663364643380,1
256,669,1663364643784,1663364643967,183,1663364644453,1663364644453,0
256,606,1663364644978,1663364645072,94,1663364645582,1663364645584,2
256,648,1663364646101,1663364646190,89,1663364646748,1663364646749,1
256,564,1663364647225,1663364647307,82,1663364647788,1663364647789,1
256,815,1663364648139,1663364648400,261,1663364648954,1663364648954,0
256,451,1663364649366,1663364649442,76,1663364649817,1663364649817,0
256,685,1663364650256,1663364650365,109,1663364650941,1663364650941,0
256,494,1663364651484,1663364651563,79,1663364651977,1663364651978,1
256,763,1663364652381,1663364652562,181,1663364653143,1663364653144,1
256,574,1663364653658,1663364653747,89,1663364654231,1663364654232,1
256,544,1663364654622,1663364654699,77,1663364655166,1663364655166,0
256,521,1663364655663,1663364655740,77,1663364656183,1663364656184,1
256,801,1663364656534,1663364656826,292,1663364657334,1663364657335,1
256,494,1663364657738,1663364657817,79,1663364658232,1663364658232,0
256,648,1663364658661,1663364658757,96,1663364659308,1663364659309,1
256,603,1663364659895,1663364659974,79,1663364660497,1663364660498,1
512,1547,1663364687935,1663364688448,513,1663364689482,1663364689482,0
512,1460,1663364690733,1663364690883,150,1663364692192,1663364692193,1
512,1538,1663364693051,1663364693509,458,1663364694589,1663364694589,0
512,1310,1663364695680,1663364695836,156,1663364696989,1663364696990,1
512,1569,1663364697784,1663364698242,458,1663364699352,1663364699353,1
512,1299,1663364700520,1663364700675,155,1663364701819,1663364701819,0
512,1500,1663364702739,1663364703216,477,1663364704238,1663364704239,1
512,1310,1663364705308,1663364705484,176,1663364706617,1663364706618,1
512,1507,1663364707485,1663364707952,467,1663364708992,1663364708992,0
512,1434,1663364710028,1663364710202,174,1663364711462,1663364711462,0
512,1378,1663364712280,1663364712731,451,1663364713658,1663364713658,0
512,1267,1663364714776,1663364714926,150,1663364716042,1663364716043,1
512,1457,1663364716911,1663364717400,489,1663364718368,1663364718368,0
512,1331,1663364719404,1663364719557,153,1663364720735,1663364720735,0
512,1580,1663364721568,1663364722045,477,1663364723147,1663364723148,1
512,1370,1663364724457,1663364724614,157,1663364725826,1663364725827,1
512,1406,1663364726628,1663364727109,481,1663364728034,1663364728034,0
512,1375,1663364729182,1663364729335,153,1663364730556,1663364730557,1
512,1357,1663364731386,1663364731847,461,1663364732743,1663364732743,0
512,1456,1663364733746,1663364733922,176,1663364735202,1663364735202,0
512,1500,1663364736118,1663364736608,490,1663364737618,1663364737618,0
512,1444,1663364738712,1663364738892,180,1663364740156,1663364740156,0
512,1411,1663364741055,1663364741521,466,1663364742465,1663364742466,1
512,1400,1663364743455,1663364743622,167,1663364744855,1663364744855,0
512,1759,1663364745863,1663364746460,597,1663364747622,1663364747622,0
512,1296,1663364748649,1663364748816,167,1663364749944,1663364749945,1
512,1458,1663364750813,1663364751307,494,1663364752270,1663364752271,1
512,1382,1663364753301,1663364753448,147,1663364754683,1663364754683,0
512,1614,1663364755598,1663364756197,599,1663364757211,1663364757212,1
512,1337,1663364758217,1663364758369,152,1663364759553,1663364759554,1
