0.5,9,1661715163915,1661715163920,5,1661715163923,1661715163924,1
0.5,6,1661715163931,1661715163934,3,1661715163937,1661715163937,0
0.5,7,1661715163942,1661715163945,3,1661715163949,1661715163949,0
0.5,7,1661715163954,1661715163957,3,1661715163960,1661715163961,1
0.5,6,1661715163966,1661715163969,3,1661715163972,1661715163972,0
0.5,9,1661715163977,1661715163981,4,1661715163985,1661715163986,1
0.5,6,1661715163991,1661715163994,3,1661715163997,1661715163997,0
0.5,7,1661715164002,1661715164005,3,1661715164008,1661715164009,1
0.5,7,1661715164014,1661715164017,3,1661715164020,1661715164021,1
0.5,7,1661715164026,1661715164029,3,1661715164032,1661715164033,1
0.5,7,1661715164037,1661715164041,4,1661715164044,1661715164044,0
0.5,7,1661715164049,1661715164052,3,1661715164055,1661715164056,1
0.5,7,1661715164061,1661715164064,3,1661715164067,1661715164068,1
0.5,6,1661715164073,1661715164076,3,1661715164079,1661715164079,0
0.5,7,1661715164084,1661715164087,3,1661715164090,1661715164091,1
0.5,6,1661715164096,1661715164099,3,1661715164102,1661715164102,0
0.5,8,1661715164107,1661715164111,4,1661715164114,1661715164115,1
0.5,10,1661715164120,1661715164124,4,1661715164129,1661715164130,1
0.5,9,1661715164136,1661715164140,4,1661715164145,1661715164145,0
0.5,8,1661715164151,1661715164154,3,1661715164158,1661715164159,1
0.5,10,1661715164165,1661715164169,4,1661715164174,1661715164175,1
0.5,11,1661715164182,1661715164187,5,1661715164193,1661715164193,0
0.5,10,1661715164201,1661715164205,4,1661715164211,1661715164211,0
0.5,10,1661715164217,1661715164221,4,1661715164227,1661715164227,0
0.5,9,1661715164234,1661715164237,3,1661715164242,1661715164243,1
0.5,6,1661715164248,1661715164251,3,1661715164254,1661715164254,0
0.5,9,1661715164260,1661715164263,3,1661715164268,1661715164269,1
0.5,9,1661715164273,1661715164275,2,1661715164281,1661715164282,1
0.5,9,1661715164286,1661715164289,3,1661715164295,1661715164295,0
0.5,7,1661715164300,1661715164303,3,1661715164307,1661715164307,0
1,82,1661715887345,1661715887389,44,1661715887424,1661715887427,3
1,19,1661715887438,1661715887442,4,1661715887456,1661715887457,1
1,13,1661715887467,1661715887471,4,1661715887479,1661715887480,1
1,12,1661715887491,1661715887496,5,1661715887502,1661715887503,1
1,12,1661715887513,1661715887517,4,1661715887524,1661715887525,1
1,11,1661715887536,1661715887540,4,1661715887547,1661715887547,0
1,13,1661715887568,1661715887571,3,1661715887579,1661715887581,2
1,11,1661715887591,1661715887593,2,1661715887601,1661715887602,1
1,12,1661715887615,1661715887618,3,1661715887627,1661715887627,0
1,13,1661715887639,1661715887643,4,1661715887651,1661715887652,1
1,12,1661715887665,1661715887668,3,1661715887676,1661715887677,1
1,11,1661715887689,1661715887692,3,1661715887700,1661715887700,0
1,11,1661715887712,1661715887715,3,1661715887723,1661715887723,0
1,11,1661715887735,1661715887738,3,1661715887746,1661715887746,0
1,12,1661715887757,1661715887761,4,1661715887768,1661715887769,1
1,12,1661715887778,1661715887782,4,1661715887790,1661715887790,0
1,14,1661715887800,1661715887805,5,1661715887813,1661715887814,1
1,14,1661715887826,1661715887830,4,1661715887839,1661715887840,1
1,11,1661715887849,1661715887852,3,1661715887859,1661715887860,1
1,10,1661715887870,1661715887873,3,1661715887879,1661715887880,1
1,11,1661715887898,1661715887902,4,1661715887908,1661715887909,1
1,9,1661715887921,1661715887924,3,1661715887930,1661715887930,0
1,9,1661715887938,1661715887941,3,1661715887946,1661715887947,1
1,12,1661715887955,1661715887958,3,1661715887967,1661715887967,0
1,9,1661715887976,1661715887979,3,1661715887985,1661715887985,0
1,9,1661715887994,1661715887996,2,1661715888003,1661715888003,0
1,13,1661715888011,1661715888014,3,1661715888024,1661715888024,0
1,11,1661715888033,1661715888037,4,1661715888044,1661715888044,0
1,11,1661715888054,1661715888056,2,1661715888064,1661715888065,1
1,10,1661715888073,1661715888076,3,1661715888083,1661715888083,0
