type,env,start_time,end_time,elapsed_time
async,local,1662764256.181067,1662764256.198047,0.01697993278503418
async,local,1662764256.198047,1662764256.2161846,0.018137693405151367
async,local,1662764256.2162292,1662764256.233419,0.017189741134643555
async,local,1662764256.233419,1662764256.2492547,0.01583576202392578
async,local,1662764256.249756,1662764256.2652538,0.015497684478759766
async,local,1662764256.2652538,1662764256.2852533,0.01999950408935547
async,local,1662764256.2852533,1662764256.3012524,0.01599907875061035
async,local,1662764256.3012524,1662764256.3153856,0.014133214950561523
async,local,1662764256.3153856,1662764256.3307514,0.015365839004516602
async,local,1662764256.3307514,1662764256.3461745,0.015423059463500977
async,local,1662764256.3462522,1662764256.3617628,0.01551055908203125
async,local,1662764256.3617628,1662764256.3802505,0.01848769187927246
async,local,1662764256.3802505,1662764256.404759,0.02450847625732422
async,local,1662764256.4047947,1662764256.4264088,0.02161407470703125
async,local,1662764256.4264088,1662764256.446083,0.019674301147460938
async,local,1662764256.446083,1662764256.4654279,0.019344806671142578
async,local,1662764256.4654279,1662764256.4884803,0.023052453994750977
async,local,1662764256.4884803,1662764256.5047069,0.016226530075073242
async,local,1662764256.5047069,1662764256.5243108,0.019603967666625977
async,local,1662764256.5243108,1662764256.5437462,0.019435405731201172
async,local,1662764256.5437462,1662764256.5607548,0.017008543014526367
async,local,1662764256.5607548,1662764256.582655,0.021900177001953125
async,local,1662764256.5826776,1662764256.6037502,0.0210726261138916
async,local,1662764256.6037502,1662764256.6331294,0.02937912940979004
async,local,1662764256.6331294,1662764256.6524763,0.019346952438354492
async,local,1662764256.6524763,1662764256.6741984,0.021722078323364258
async,local,1662764256.6741984,1662764256.693193,0.018994569778442383
async,local,1662764256.693193,1662764256.7141945,0.021001577377319336
async,local,1662764256.7141945,1662764256.731807,0.017612457275390625
async,local,1662764256.731807,1662764256.7496936,0.017886638641357422
async,local,1662764256.7496936,1662764256.7664878,0.016794204711914062
async,local,1662764256.7664878,1662764256.7854886,0.019000768661499023
async,local,1662764256.7854886,1662764256.8092885,0.023799896240234375
async,local,1662764256.8092885,1662764256.830192,0.020903587341308594
async,local,1662764256.830192,1662764256.8523588,0.022166728973388672
async,local,1662764256.8523588,1662764256.8733783,0.021019458770751953
async,local,1662764256.8733783,1662764256.8931122,0.019733905792236328
async,local,1662764256.8931122,1662764256.909984,0.016871929168701172
async,local,1662764256.909984,1662764256.9294546,0.0194704532623291
async,local,1662764256.9294546,1662764256.9467256,0.017271041870117188
async,local,1662764256.9467905,1662764256.9618938,0.015103340148925781
async,local,1662764256.9618938,1662764256.9767857,0.014891862869262695
async,local,1662764256.9767857,1662764256.993787,0.01700139045715332
async,local,1662764256.993787,1662764257.0087855,0.014998435974121094
async,local,1662764257.0087855,1662764257.023804,0.015018463134765625
async,local,1662764257.0238423,1662764257.0378432,0.014000892639160156
async,local,1662764257.0378432,1662764257.0513513,0.013508081436157227
async,local,1662764257.0513513,1662764257.0658617,0.014510393142700195
async,local,1662764257.0658617,1662764257.0801578,0.01429605484008789
async,docker,1663887323.2556047,1663887323.270387,0.014782190322875977
async,docker,1663887323.2704263,1663887323.284753,0.014326810836791992
async,docker,1663887323.2847953,1663887323.2992404,0.014445066452026367
async,docker,1663887323.2993095,1663887323.3113158,0.012006282806396484
async,docker,1663887323.3113575,1663887323.3227212,0.011363744735717773
async,docker,1663887323.322758,1663887323.3345957,0.01183772087097168
async,docker,1663887323.3346326,1663887323.3469794,0.012346744537353516
async,docker,1663887323.347017,1663887323.3596642,0.012647151947021484
async,docker,1663887323.3597019,1663887323.3705733,0.010871410369873047
async,docker,1663887323.370611,1663887323.3825939,0.011982917785644531
async,docker,1663887323.3826275,1663887323.394576,0.011948585510253906
async,docker,1663887323.3946078,1663887323.4048736,0.010265827178955078
async,docker,1663887323.4049115,1663887323.4182444,0.013332843780517578
async,docker,1663887323.4182923,1663887323.430189,0.011896610260009766
async,docker,1663887323.430229,1663887323.441586,0.01135706901550293
async,docker,1663887323.4416196,1663887323.452681,0.011061429977416992
async,docker,1663887323.4527192,1663887323.4620194,0.00930023193359375
async,docker,1663887323.4620557,1663887323.472911,0.01085519790649414
async,docker,1663887323.4729438,1663887323.482592,0.009648323059082031
async,docker,1663887323.4826257,1663887323.4935706,0.010944843292236328
async,docker,1663887323.4936035,1663887323.5035748,0.009971380233764648
async,docker,1663887323.5036137,1663887323.5132513,0.009637594223022461
async,docker,1663887323.5132904,1663887323.5231266,0.009836196899414062
async,docker,1663887323.5231597,1663887323.5329218,0.009762048721313477
async,docker,1663887323.5329535,1663887323.5429983,0.01004481315612793
async,docker,1663887323.5430431,1663887323.5521228,0.009079694747924805
async,docker,1663887323.5521593,1663887323.5616088,0.009449481964111328
async,docker,1663887323.5616393,1663887323.5717854,0.010146141052246094
async,docker,1663887323.5718207,1663887323.582569,0.010748147964477539
async,docker,1663887323.5826056,1663887323.592343,0.009737491607666016
async,docker,1663887323.592374,1663887323.601793,0.009418964385986328
async,docker,1663887323.601827,1663887323.6123333,0.010506391525268555
async,docker,1663887323.6123652,1663887323.621093,0.008727788925170898
async,docker,1663887323.6211278,1663887323.6308403,0.009712457656860352
async,docker,1663887323.630882,1663887323.640974,0.010092020034790039
async,docker,1663887323.6410143,1663887323.6507623,0.009747982025146484
async,docker,1663887323.6508014,1663887323.6596215,0.008820056915283203
async,docker,1663887323.65966,1663887323.6698487,0.010188579559326172
async,docker,1663887323.6698873,1663887323.6794152,0.009527921676635742
async,docker,1663887323.6794467,1663887323.6879292,0.00848245620727539
