i,mean,std,ci
1,0.03301226298014323,0.00930214295292302,0.0033287291052563877
2,0.02810955842336019,0.0036385690861181633,0.0013020452254651452
3,0.02648470401763916,0.004427247996783449,0.0015842703490651312
4,0.024970507621765135,0.004004762127235023,0.0014330857222922776
5,0.02510811487833659,0.004481319258722381,0.0016036195016512576
6,0.024671546618143716,0.004569139630434956,0.0016350456180669619
7,0.02612722714742025,0.004092545383669558,0.0014644985571763084
8,0.025076643625895182,0.004282903376769969,0.0015326172901670133
9,0.024207711219787598,0.0046627856138237375,0.0016685564028478645
10,0.022555009524027506,0.0041366390358045435,0.001480277267948825
11,0.024091641108194988,0.004346819590580365,0.0015554894135352746
12,0.027696816126505534,0.008434589452931608,0.0030182790723549896
13,0.025053922335306802,0.0045377900905849205,0.0016238273293066909
14,0.023431785901387534,0.0034761789148894636,0.0012439346489977428
15,0.02405551274617513,0.006154793804413652,0.0022024646769339927
16,0.022820305824279786,0.0043370362947930206,0.001551988506099485
17,0.022993938128153483,0.004861034832754753,0.0017394989747358456
18,0.02300552527109782,0.003948254879733522,0.0014128648634677992
19,0.022943504651387534,0.004056741337661843,0.0014516862438593678
20,0.02264264424641927,0.0036128292146607615,0.0012928343307584704
21,0.025633708635965983,0.010542853652921697,0.0037727117272382234
22,0.02385368347167969,0.004385851493550657,0.0015694568006318064
23,0.02263487180074056,0.004120467283361411,0.0014744902806585961
24,0.022756481170654298,0.0034466713031126176,0.0012333754857333974
25,0.022518253326416014,0.0030859720291414256,0.0011043009082312891
26,0.022026427586873374,0.004251894726232196,0.0015215209870804891
27,0.03033737341562907,0.020818077973523294,0.007449653527866761
28,0.021688365936279298,0.004965452503085786,0.0017768643581849092
29,0.022257351875305177,0.003515698075698095,0.0012580763990724033
30,0.021495326360066732,0.005875307507057599,0.0021024517898779946
