start_time,end_time,elapsed_time,type
1662764393.1330104,1662764393.8187575,0.6857471466064453,local
1662764393.8187575,1662764393.8668652,0.04810762405395508,local
1662764393.8668652,1662764393.894391,0.027525901794433594,local
1662764393.894391,1662764393.9233034,0.02891230583190918,local
1662764393.9233034,1662764393.9508033,0.027499914169311523,local
1662764393.9508033,1662764393.9773262,0.02652287483215332,local
1662764393.9773262,1662764394.0043454,0.027019262313842773,local
1662764394.0043454,1662764394.0346656,0.030320167541503906,local
1662764394.0346656,1662764394.0695333,0.03486776351928711,local
1662764394.0695333,1662764394.102036,0.03250265121459961,local
1662764394.102036,1662764394.129746,0.0277099609375,local
1662764394.129746,1662764394.1535387,0.023792743682861328,local
1662764394.1535387,1662764394.1795342,0.025995492935180664,local
1662764394.1799102,1662764394.2066135,0.026703357696533203,local
1662764394.2066135,1662764394.235805,0.02919149398803711,local
1662764394.235805,1662764394.2686675,0.03286242485046387,local
1662764394.2687032,1662764394.29641,0.02770686149597168,local
1662764394.29641,1662764394.3254747,0.029064655303955078,local
1662764394.3254747,1662764394.3536272,0.0281524658203125,local
1662764394.3536272,1662764394.3803813,0.026754140853881836,local
1662764394.3803813,1662764394.4055588,0.025177478790283203,local
1662764394.4055588,1662764394.4309237,0.02536487579345703,local
1662764394.4309237,1662764394.4539587,0.023035049438476562,local
1662764394.4539587,1662764394.4780757,0.024116992950439453,local
1662764394.4780757,1662764394.5018044,0.023728609085083008,local
1662764394.5018044,1662764394.5270476,0.025243282318115234,local
1662764394.5270476,1662764394.5509038,0.023856163024902344,local
1662764394.5509038,1662764394.5792825,0.028378725051879883,local
1662764394.5792825,1662764394.607248,0.027965545654296875,local
1662764394.607248,1662764394.6347048,0.02745676040649414,local
1662764394.6347048,1662764394.6621647,0.02745985984802246,local
1662764394.662295,1662764394.6892946,0.026999473571777344,local
1662764394.6892946,1662764394.7155845,0.026289939880371094,local
1662764394.7155845,1662764394.7402945,0.02470993995666504,local
1662764394.7402945,1662764394.7658036,0.025509119033813477,local
1662764394.7658036,1662764394.7917385,0.025934934616088867,local
1662764394.7917385,1662764394.8198364,0.028097867965698242,local
1662764394.8198364,1662764394.8438587,0.024022340774536133,local
1662764394.8438587,1662764394.8666327,0.02277398109436035,local
1662764394.8666327,1662764394.8882923,0.02165961265563965,local
1662764394.8882923,1662764394.912877,0.02458477020263672,local
1662764394.912877,1662764394.936486,0.023608922958374023,local
1662764394.936486,1662764394.9601696,0.023683547973632812,local
1662764394.9601696,1662764394.98267,0.02250051498413086,local
1662764394.98267,1662764395.0072267,0.024556636810302734,local
1662764395.0072267,1662764395.0346189,0.027392148971557617,local
1662764395.0346189,1662764395.0612242,0.02660536766052246,local
1662764395.0612242,1662764395.0892923,0.028068065643310547,local
1662764395.0892923,1662764395.1142607,0.024968385696411133,local
1662764395.1142607,1662764395.1362252,0.021964550018310547,local
1663888178.5854657,1663888179.2502472,0.6647815704345703,docker
1663888179.2502906,1663888179.273522,0.02323126792907715,docker
1663888179.273561,1663888179.2930577,0.019496679306030273,docker
1663888179.293104,1663888179.314579,0.02147507667541504,docker
1663888179.3146203,1663888179.3342347,0.019614458084106445,docker
1663888179.334278,1663888179.3554614,0.021183252334594727,docker
1663888179.3554952,1663888179.3751593,0.01966404914855957,docker
1663888179.3751938,1663888179.3945029,0.019309043884277344,docker
1663888179.3945432,1663888179.414002,0.019458770751953125,docker
1663888179.4140449,1663888179.4318867,0.017841815948486328,docker
1663888179.4319174,1663888179.4468067,0.014889240264892578,docker
1663888179.446851,1663888179.4628909,0.01603984832763672,docker
1663888179.4629257,1663888179.4804485,0.017522811889648438,docker
1663888179.480483,1663888179.4953501,0.014867067337036133,docker
1663888179.4953883,1663888179.5109956,0.015607357025146484,docker
1663888179.511026,1663888179.5278456,0.01681971549987793,docker
1663888179.5278814,1663888179.543179,0.015297651290893555,docker
1663888179.543217,1663888179.5580018,0.014784812927246094,docker
1663888179.5580459,1663888179.575274,0.017228126525878906,docker
1663888179.5753171,1663888179.589972,0.014654874801635742,docker
1663888179.5900018,1663888179.6047416,0.014739751815795898,docker
1663888179.6047764,1663888179.6210873,0.016310930252075195,docker
1663888179.6211195,1663888179.6365385,0.01541900634765625,docker
1663888179.6365721,1663888179.6526284,0.016056299209594727,docker
1663888179.652673,1663888179.6691751,0.01650214195251465,docker
1663888179.669209,1663888179.6846316,0.015422582626342773,docker
1663888179.6846628,1663888179.6984537,0.01379084587097168,docker
1663888179.6984918,1663888179.7127433,0.014251470565795898,docker
1663888179.7127748,1663888179.7273526,0.014577865600585938,docker
1663888179.7273843,1663888179.7413054,0.013921022415161133,docker
1663888179.7413464,1663888179.7573109,0.015964508056640625,docker
1663888179.7573495,1663888179.7737827,0.016433238983154297,docker
1663888179.7738197,1663888179.7879217,0.014101982116699219,docker
1663888179.7879524,1663888179.8033812,0.015428781509399414,docker
1663888179.8034284,1663888179.8179758,0.014547348022460938,docker
1663888179.818017,1663888179.8331988,0.015181779861450195,docker
1663888179.8332403,1663888179.848255,0.0150146484375,docker
1663888179.8482988,1663888179.863481,0.015182256698608398,docker
1663888179.863521,1663888179.8802948,0.016773700714111328,docker
1663888179.8803666,1663888179.8973958,0.017029285430908203,docker
1663888179.8974266,1663888179.9119515,0.01452493667602539,docker
1663888179.9119918,1663888179.9282281,0.016236305236816406,docker
1663888179.9282682,1663888179.9442387,0.015970468521118164,docker
1663888179.944279,1663888179.9607456,0.016466617584228516,docker
1663888179.9607875,1663888179.975687,0.014899492263793945,docker
1663888179.9757361,1663888179.9914577,0.015721559524536133,docker
1663888179.991502,1663888180.0074682,0.015966176986694336,docker
1663888180.007511,1663888180.0233996,0.015888690948486328,docker
1663888180.0234447,1663888180.0396955,0.0162508487701416,docker
1663888180.0397365,1663888180.0557835,0.016047000885009766,docker
